province,age,sex,population,ASD_prev_3_17,N_ASD,asd_survival,rho_adj,gamma_adj
Alberta,18,Female,24840.0,0.011173948,277.56086832,0.9993760205927967,0.01116697568655084,277.38767605392286
Alberta,19,Female,24840.0,0.011173948,277.38767605392286,0.9993760205927967,0.011160007723681694,277.21459185625326
Alberta,20,Female,26493.0,0.011173948,295.66208462349914,0.9984400514819919,0.011142598686172178,295.20086699275953
Alberta,21,Female,26493.0,0.011173948,295.20086699275953,0.9984400514819919,0.011125216805864924,294.74036883777944
Alberta,22,Female,26493.0,0.011173948,294.74036883777944,0.9984400514819919,0.011107862040396096,294.28058903621377
Alberta,23,Female,26493.0,0.011173948,294.28058903621377,0.9984400514819919,0.01109053434746794,293.8215264674682
Alberta,24,Female,26493.0,0.011173948,293.8215264674682,0.9984400514819919,0.011073233684848692,293.3631800126964
Alberta,25,Female,31139.0,0.011173948,344.8094237125034,0.9984400514819919,0.011055960010372455,344.27153876298786
Alberta,26,Female,31139.0,0.011173948,344.27153876298786,0.9984400514819919,0.011038713281939118,343.7344928863022
Alberta,27,Female,31139.0,0.011173948,343.7344928863022,0.9984400514819919,0.01102149345751424,343.19828477353593
Alberta,28,Female,31139.0,0.011173948,343.19828477353593,0.9984400514819919,0.011004300495128955,342.66291311782055
Alberta,29,Female,31139.0,0.011173948,342.66291311782055,0.9984400514819919,0.010987134352879863,342.12837661432604
Alberta,30,Female,34895.0,0.011173948,383.3960532437428,0.9984400514819919,0.010969994988928932,382.7979751386751
Alberta,31,Female,34895.0,0.011173948,382.7979751386751,0.9984400514819919,0.010952882361503397,382.20083000466104
Alberta,32,Female,34895.0,0.011173948,382.20083000466104,0.9984400514819919,0.010935796428895653,381.6046163863138
Alberta,33,Female,34895.0,0.011173948,381.6046163863138,0.9984400514819919,0.010918737149463158,381.00933283051694
Alberta,34,Female,34895.0,0.011173948,381.00933283051694,0.9984400514819919,0.010901704481628334,380.41497788642073
Alberta,35,Female,34873.0,0.011173948,380.1751403878249,0.9978160720747886,0.010877895944778504,379.34486528226074
Alberta,36,Female,34873.0,0.011173948,379.34486528226074,0.9978160720747886,0.010854139404057158,378.51640343768526
Alberta,37,Female,34873.0,0.011173948,378.51640343768526,0.9978160720747886,0.0108304347459085,377.6897508940671
Alberta,38,Female,34873.0,0.011173948,377.6897508940671,0.9978160720747886,0.01080678185702473,376.86490370002343
Alberta,39,Female,34873.0,0.011173948,376.86490370002343,0.9978160720747886,0.010783180624345507,376.0418579128009
Alberta,40,Female,30777.0,0.011173948,331.8739500754817,0.9968801029639838,0.010749538211076784,330.83853752231016
Alberta,41,Female,30777.0,0.011173948,330.83853752231016,0.9968801029639838,0.0107160007586735,329.80635534969434
Alberta,42,Female,30777.0,0.011173948,329.80635534969434,0.9968801029639838,0.010682567939668567,328.7773934791795
Alberta,43,Female,30777.0,0.011173948,328.7773934791795,0.9968801029639838,0.010649239427616555,327.7516418637547
Alberta,44,Female,30777.0,0.011173948,327.7516418637547,0.9968801029639838,0.010616014897090506,326.7290904877545
Alberta,45,Female,27865.0,0.011173948,295.81525510742694,0.995008164742374,0.010563021499631725,294.33859408723805
Alberta,46,Female,27865.0,0.011173948,294.33859408723805,0.995008164742374,0.010510292636482803,292.8693043155933
Alberta,47,Female,27865.0,0.011173948,292.8693043155933,0.995008164742374,0.010457826987132041,291.40734899643434
Alberta,48,Female,27865.0,0.011173948,291.40734899643434,0.995008164742374,0.010405623237659523,289.9526915173826
Alberta,49,Female,27865.0,0.011173948,289.9526915173826,0.995008164742374,0.010353680080704203,288.5052954488226
Alberta,50,Female,26372.0,0.011173948,273.0472510883312,0.992512247113561,0.010276154282794644,271.00274074586036
Alberta,51,Female,26372.0,0.011173948,271.00274074586036,0.992512247113561,0.010199208978902157,268.9735391916077
Alberta,52,Female,26372.0,0.011173948,268.9735391916077,0.992512247113561,0.010122839822430988,266.95953179715
Alberta,53,Female,26372.0,0.011173948,266.95953179715,0.992512247113561,0.01004704249933162,264.9606047923735
Alberta,54,Female,26372.0,0.011173948,264.9606047923735,0.992512247113561,0.009971812727857075,262.9766452590468
Alberta,55,Female,28542.0,0.011173948,284.6154788784966,0.9884563809667398,0.009856701920655677,281.32998621935434
Alberta,56,Female,28542.0,0.011173948,281.32998621935434,0.9884563809667398,0.009742919908759225,278.0824200358058
Alberta,57,Female,28542.0,0.011173948,278.0824200358058,0.9884563809667398,0.009630451353060942,274.8723425190654
Alberta,58,Female,28542.0,0.011173948,274.8723425190654,0.9884563809667398,0.009519281091522861,271.6993209142455
Alberta,59,Female,28542.0,0.011173948,271.6993209142455,0.9884563809667398,0.009409394137131806,268.562927462016
Alberta,60,Female,25737.0,0.011173948,242.1695769073613,0.9828405663019105,0.0092479342622965,238.01408410872503
Alberta,61,Female,25737.0,0.011173948,238.01408410872503,0.9828405663019105,0.009089244947478333,233.92989721324986
Alberta,62,Female,25737.0,0.011173948,233.92989721324986,0.9828405663019105,0.008933278651436383,229.9157926520182
Alberta,63,Female,25737.0,0.011173948,229.9157926520182,0.9828405663019105,0.008779988648710503,225.9705678518622
Alberta,64,Female,25737.0,0.011173948,225.9705678518622,0.9828405663019105,0.008629329015622977,222.09304087508855
Alberta,65,Female,20136.0,0.011173948,173.76016905858427,0.9734808751938617,0.008400486762464441,169.152201448984
Alberta,66,Female,20136.0,0.011173948,169.152201448984,0.9734808751938617,0.008177713205578334,164.66643310752534
Alberta,67,Female,20136.0,0.011173948,164.66643310752534,0.9734808751938617,0.007960847408450798,160.29962341656525
