,province,age_group,sex,population,gamma_adj,rho_adj,province_cat,age_group_cat,sex_cat,logit_rho_adj,log_population,Estimated Prevalence,Lower 95% HPDI,Upper 95% HPDI,asd_cases,asd_LCL,asd_UCL
0,Alberta,18-19,Female,49680.0,554.6022679101761,0.011163491705116267,0,0,0,-4.483880223021134,10.81335771660736,0.01138111255422306,0.004918180459205776,0.025612354094342593,565.4136716938017,244.33520521334296,1272.42175140694
1,Alberta,18-19,Male,52128.0,1884.5548470334747,0.03615244872301786,0,0,1,-3.2831884561224642,10.861457511401772,0.04318774029251067,0.01888477334143936,0.09244909082800465,2251.290525967996,984.425464742551,4819.186206682226
2,Alberta,20-24,Female,132465.0,1471.4065313469173,0.011107889112949966,0,1,0,-4.488929649814005,11.794073738571011,0.011149131095746443,0.004890463252565927,0.025574833471129335,1476.8696505980527,647.8152147511455,3387.7703157531473
3,Alberta,20-24,Male,143100.0,5125.843052128501,0.03582000735240042,0,1,1,-3.29277138965413,11.871298965544542,0.04327866843819396,0.019545266501459185,0.09425089150071368,6193.177453505556,2796.927636358809,13487.302573752128
4,Alberta,25-29,Female,155695.0,1715.9956061549726,0.011021520319566927,0,2,0,-4.49682281746751,11.955654244268562,0.012054215831194266,0.005203223558736272,0.026831083726227032,1876.7811338377912,810.1158919774439,4177.465580754918
5,Alberta,25-29,Male,164995.0,5816.403911571215,0.03525200103985705,0,2,1,-3.3093446315265687,12.013670449393269,0.045888057492938714,0.02014202773251768,0.09668219248319461,7571.300046047423,3323.3338657267545,15952.078348764695
6,Alberta,30-34,Female,174475.0,1908.0277322465877,0.010935823082083896,0,3,0,-4.504715298513368,12.069536743885353,0.013172597754658164,0.005884387129055953,0.03050560577682237,2298.288993243983,1026.6784443420374,5322.465567911083
7,Alberta,30-34,Male,180665.0,6254.037618407581,0.03461676372516858,0,3,1,-3.3281870930789235,12.10439976661887,0.048857458712824306,0.02232464916681891,0.10368300086161304,8826.832778352404,4033.2827417233384,18731.88935066332
8,Alberta,35-39,Female,174365.0,1888.4577812268374,0.01083048651522288,0,4,0,-4.514500732884148,12.068906082243076,0.013145169633880505,0.00586877930138661,0.03019242758604759,2292.0575032115744,1023.3097028862763,5264.5026360411875
9,Alberta,35-39,Male,177085.0,5998.905404438767,0.03387585286409785,0,4,1,-3.350589886975915,12.08438512227307,0.04819309251771057,0.02175964343984535,0.10489142231534734,8534.273788498776,3853.306458545014,18574.697520713285
10,Alberta,40-44,Female,153885.0,1643.9030187026933,0.010682672246825183,0,5,0,-4.528392124729691,11.943960849189923,0.012156010929241406,0.005274746034923583,0.02745582191897477,1870.6277418463137,811.7042935842156,4225.039156001432
11,Alberta,40-44,Male,156610.0,5167.321952567412,0.03299484038418627,0,5,1,-3.377852633884888,11.96151391746048,0.044669919864073294,0.01940031256756231,0.09561351595308226,6995.756149912519,3038.2829512059334,14974.032733412214
12,Alberta,45-49,Female,139325.0,1457.0732343654709,0.010458088888322059,0,6,0,-4.549866384711209,11.844564612437738,0.010638064689229192,0.004870261271874271,0.024604921124434916,1482.1483628268572,678.5491517038828,3428.0806356618946
13,Alberta,45-49,Male,145575.0,4638.778559975943,0.03186521421930924,0,6,1,-3.4138563676338287,11.888446696705321,0.04012304407639909,0.018200916918441973,0.08742123655139958,5840.912141421798,2649.59848040219,12726.346510969994
14,Alberta,50-54,Female,131860.0,1334.8730617860383,0.010123411662263297,0,7,0,-4.582729549289557,11.78949603266729,0.009225075933182605,0.004087493480160376,0.02155372370794213,1216.4185125494582,538.9768902939472,2842.0740081292493
15,Alberta,50-54,Male,135925.0,4121.527433594472,0.03032207050648867,0,7,1,-3.465088137997593,11.81985854201412,0.03447782523674746,0.015479476071771196,0.07822602138423164,4686.398395304898,2104.0477850555,10632.871956651685
16,Alberta,55-59,Female,142710.0,1374.546997150487,0.009631749682226102,0,8,0,-4.633011943895103,11.868569878094437,0.008677757073617325,0.003829955914953032,0.01964980820249239,1238.4027119759285,546.5730086229472,2804.2241285776886
17,Alberta,55-59,Male,143390.0,4027.785820378126,0.02808972606442657,0,8,1,-3.5438596004324725,11.873323469709085,0.031750281650329434,0.013892492929338389,0.06865136124338476,4552.672885840738,1992.0445611378316,9843.918688688942
18,Alberta,60-64,Female,128685.0,1149.9233827009439,0.00893595510510894,0,9,0,-4.70869612106899,11.765122836675175,0.007763538150511656,0.003418924726648395,0.017189691464069134,999.0509068985924,439.9643284487487,2212.0554460537364
19,Alberta,60-64,Male,129330.0,3215.0312807389037,0.02485912998329006,0,9,1,-3.6693568538092065,11.77012255640929,0.028470888893067904,0.012198945877908684,0.061064433547025,3682.140060540472,1577.6896703899301,7897.463190636744
20,Alberta,65-69,Female,100680.0,802.0772205981565,0.007966599330533935,0,10,0,-4.824499058748353,11.519702449249252,0.0062697669658263715,0.002840155056538202,0.014998336291469037,631.240138119399,285.94681109226616,1510.0324978251026
21,Alberta,65-69,Male,97940.0,2032.4799784339689,0.020752297104696435,0,10,1,-3.8541276823732846,11.492110325256307,0.02247551144982806,0.009483044316086923,0.04802789767940366,2201.25159139616,928.7693603175533,4703.852298720794
22,Alberta,70-74,Female,76875.0,506.80328618172024,0.006592563072282539,0,11,0,-5.015198682504882,11.249936005108818,0.0046976768454207755,0.00207833697344443,0.010786750024327182,361.13390749172214,159.77215483354058,829.2314081201521
23,Alberta,70-74,Male,71070.0,1123.6757250829012,0.01581083052037289,0,11,1,-4.131122942807056,11.171420585820941,0.016067298887981318,0.006919597033527915,0.036042606827534865,1141.9029319688323,491.77576117282894,2561.5480672329027
