Geography,Sex,Year,Age_group,Rate
Newfoundland and Labrador,Male,2017,1 to 4,0
Newfoundland and Labrador,Male,2018,1 to 4,0.2
Newfoundland and Labrador,Male,2019,1 to 4,0.1
Newfoundland and Labrador,Male,2020,1 to 4,0.3
Newfoundland and Labrador,Female,2016,1 to 4,0.1
Newfoundland and Labrador,Female,2017,1 to 4,0.2
Newfoundland and Labrador,Female,2018,1 to 4,0.3
Newfoundland and Labrador,Female,2019,1 to 4,0
Newfoundland and Labrador,Female,2020,1 to 4,0
Prince Edward Island,Male,2016,1 to 4,0
Prince Edward Island,Male,2017,1 to 4,0
Prince Edward Island,Male,2018,1 to 4,0
Prince Edward Island,Male,2019,1 to 4,0
Prince Edward Island,Male,2020,1 to 4,0.6
Prince Edward Island,Female,2016,1 to 4,0
Prince Edward Island,Female,2017,1 to 4,0
Prince Edward Island,Female,2018,1 to 4,0
Prince Edward Island,Female,2019,1 to 4,0
Prince Edward Island,Female,2020,1 to 4,0
Nova Scotia,Male,2016,1 to 4,0.3
Nova Scotia,Male,2017,1 to 4,0.2
Nova Scotia,Male,2018,1 to 4,0.1
Nova Scotia,Male,2019,1 to 4,0.2
Nova Scotia,Male,2020,1 to 4,0.3
Nova Scotia,Female,2016,1 to 4,0.1
Nova Scotia,Female,2017,1 to 4,0.1
Nova Scotia,Female,2018,1 to 4,0.2
Nova Scotia,Female,2019,1 to 4,0.3
Nova Scotia,Female,2020,1 to 4,0.2
New Brunswick,Male,2016,1 to 4,0.1
New Brunswick,Male,2017,1 to 4,0.1
New Brunswick,Male,2018,1 to 4,0.1
New Brunswick,Male,2019,1 to 4,0.2
New Brunswick,Male,2020,1 to 4,0
New Brunswick,Female,2016,1 to 4,0.2
New Brunswick,Female,2017,1 to 4,0.1
New Brunswick,Female,2018,1 to 4,0.1
New Brunswick,Female,2019,1 to 4,0.1
New Brunswick,Female,2020,1 to 4,0.1
Quebec,Male,2016,1 to 4,0.2
Quebec,Male,2017,1 to 4,0.1
Quebec,Male,2018,1 to 4,0.1
Quebec,Male,2019,1 to 4,0.2
Quebec,Male,2020,1 to 4,0.1
Quebec,Female,2016,1 to 4,0.1
Quebec,Female,2017,1 to 4,0.1
Quebec,Female,2018,1 to 4,0.1
Quebec,Female,2019,1 to 4,0.1
Quebec,Female,2020,1 to 4,0.2
Ontario,Male,2016,1 to 4,0.2
Ontario,Male,2017,1 to 4,0.2
Ontario,Male,2018,1 to 4,0.2
Ontario,Male,2019,1 to 4,0.2
Ontario,Male,2020,1 to 4,0.2
Ontario,Female,2016,1 to 4,0.2
Ontario,Female,2017,1 to 4,0.1
Ontario,Female,2018,1 to 4,0.1
Ontario,Female,2019,1 to 4,0.1
Ontario,Female,2020,1 to 4,0.1
Manitoba,Male,2016,1 to 4,0.4
Manitoba,Male,2017,1 to 4,0.3
Manitoba,Male,2018,1 to 4,0.3
Manitoba,Male,2019,1 to 4,0.2
Manitoba,Male,2020,1 to 4,0.3
Manitoba,Female,2016,1 to 4,0.2
Manitoba,Female,2017,1 to 4,0.3
Manitoba,Female,2018,1 to 4,0.4
Manitoba,Female,2019,1 to 4,0.4
Manitoba,Female,2020,1 to 4,0.2
Saskatchewan,Male,2016,1 to 4,0.4
Saskatchewan,Male,2017,1 to 4,0.2
Saskatchewan,Male,2018,1 to 4,0.3
Saskatchewan,Male,2019,1 to 4,0.4
Saskatchewan,Male,2020,1 to 4,0.4
Saskatchewan,Female,2016,1 to 4,0.3
Saskatchewan,Female,2017,1 to 4,0.2
Saskatchewan,Female,2018,1 to 4,0.5
Saskatchewan,Female,2019,1 to 4,0.2
Saskatchewan,Female,2020,1 to 4,0.4
Alberta,Male,2016,1 to 4,0.2
Alberta,Male,2017,1 to 4,0.2
Alberta,Male,2018,1 to 4,0.2
Alberta,Male,2019,1 to 4,0.2
Alberta,Male,2020,1 to 4,0.1
Alberta,Female,2016,1 to 4,0.2
Alberta,Female,2017,1 to 4,0.2
Alberta,Female,2018,1 to 4,0.1
Alberta,Female,2019,1 to 4,0.1
Alberta,Female,2020,1 to 4,0.1
British Columbia,Male,2016,1 to 4,0.2
British Columbia,Male,2017,1 to 4,0.2
British Columbia,Male,2018,1 to 4,0.1
British Columbia,Male,2019,1 to 4,0.1
British Columbia,Male,2020,1 to 4,0.1
British Columbia,Female,2016,1 to 4,0.2
British Columbia,Female,2017,1 to 4,0.1
British Columbia,Female,2018,1 to 4,0.2
British Columbia,Female,2019,1 to 4,0.2
British Columbia,Female,2020,1 to 4,0.1
Northwest Territories,Male,2016,1 to 4,0.7
Northwest Territories,Male,2017,1 to 4,0
Northwest Territories,Male,2018,1 to 4,0
Northwest Territories,Male,2019,1 to 4,0
Northwest Territories,Male,2020,1 to 4,0
Northwest Territories,Female,2016,1 to 4,0
Northwest Territories,Female,2017,1 to 4,0
Northwest Territories,Female,2018,1 to 4,0
Northwest Territories,Female,2019,1 to 4,0
Northwest Territories,Female,2020,1 to 4,0
Nunavut,Male,2016,1 to 4,0.6
Nunavut,Male,2017,1 to 4,0
Nunavut,Male,2018,1 to 4,1.1
Nunavut,Male,2019,1 to 4,1.1
Nunavut,Male,2020,1 to 4,0.6
Nunavut,Female,2016,1 to 4,0.6
Nunavut,Female,2017,1 to 4,0.6
Nunavut,Female,2018,1 to 4,1.8
Nunavut,Female,2019,1 to 4,0.6
Nunavut,Female,2020,1 to 4,0
Newfoundland and Labrador,Male,2016,5 to 9,0.2
Newfoundland and Labrador,Male,2017,5 to 9,0.1
Newfoundland and Labrador,Male,2018,5 to 9,0.2
Newfoundland and Labrador,Male,2019,5 to 9,0.3
Newfoundland and Labrador,Male,2020,5 to 9,0.1
Newfoundland and Labrador,Female,2016,5 to 9,0.3
Newfoundland and Labrador,Female,2017,5 to 9,0.1
Newfoundland and Labrador,Female,2018,5 to 9,0.2
Newfoundland and Labrador,Female,2019,5 to 9,0.1
Newfoundland and Labrador,Female,2020,5 to 9,0.1
Prince Edward Island,Male,2016,5 to 9,0
Prince Edward Island,Male,2017,5 to 9,0.2
Prince Edward Island,Male,2018,5 to 9,0
Prince Edward Island,Male,2019,5 to 9,0.2
Prince Edward Island,Male,2020,5 to 9,0
Prince Edward Island,Female,2016,5 to 9,0
Prince Edward Island,Female,2017,5 to 9,0
Prince Edward Island,Female,2018,5 to 9,0
Prince Edward Island,Female,2019,5 to 9,0.5
Prince Edward Island,Female,2020,5 to 9,0
Nova Scotia,Male,2016,5 to 9,0
Nova Scotia,Male,2017,5 to 9,0.1
Nova Scotia,Male,2018,5 to 9,0.1
Nova Scotia,Male,2019,5 to 9,0
Nova Scotia,Male,2020,5 to 9,0.2
Nova Scotia,Female,2016,5 to 9,0.1
Nova Scotia,Female,2017,5 to 9,0
Nova Scotia,Female,2018,5 to 9,0.1
Nova Scotia,Female,2019,5 to 9,0.1
Nova Scotia,Female,2020,5 to 9,0
New Brunswick,Male,2016,5 to 9,0.1
New Brunswick,Male,2017,5 to 9,0.1
New Brunswick,Male,2018,5 to 9,0
New Brunswick,Male,2019,5 to 9,0
New Brunswick,Male,2020,5 to 9,0
New Brunswick,Female,2016,5 to 9,0
New Brunswick,Female,2017,5 to 9,0.2
New Brunswick,Female,2018,5 to 9,0.2
New Brunswick,Female,2019,5 to 9,0.1
New Brunswick,Female,2020,5 to 9,0.2
Quebec,Male,2016,5 to 9,0.1
Quebec,Male,2017,5 to 9,0.1
Quebec,Male,2018,5 to 9,0.1
Quebec,Male,2019,5 to 9,0.1
Quebec,Male,2020,5 to 9,0.1
Quebec,Female,2016,5 to 9,0.1
Quebec,Female,2017,5 to 9,0.1
Quebec,Female,2018,5 to 9,0.1
Quebec,Female,2019,5 to 9,0.1
Quebec,Female,2020,5 to 9,0.1
Ontario,Male,2016,5 to 9,0.1
Ontario,Male,2017,5 to 9,0.1
Ontario,Male,2018,5 to 9,0.1
Ontario,Male,2019,5 to 9,0.1
Ontario,Male,2020,5 to 9,0.1
Ontario,Female,2016,5 to 9,0.1
Ontario,Female,2017,5 to 9,0.1
Ontario,Female,2018,5 to 9,0.1
Ontario,Female,2019,5 to 9,0.1
Ontario,Female,2020,5 to 9,0.1
Manitoba,Male,2016,5 to 9,0.1
Manitoba,Male,2017,5 to 9,0.2
Manitoba,Male,2018,5 to 9,0.1
Manitoba,Male,2019,5 to 9,0.1
Manitoba,Male,2020,5 to 9,0.3
Manitoba,Female,2016,5 to 9,0.1
Manitoba,Female,2017,5 to 9,0.1
Manitoba,Female,2018,5 to 9,0.1
Manitoba,Female,2019,5 to 9,0.1
Manitoba,Female,2020,5 to 9,0.1
Saskatchewan,Male,2016,5 to 9,0.2
Saskatchewan,Male,2017,5 to 9,0.2
Saskatchewan,Male,2018,5 to 9,0.1
Saskatchewan,Male,2019,5 to 9,0
Saskatchewan,Male,2020,5 to 9,0.2
Saskatchewan,Female,2016,5 to 9,0.2
Saskatchewan,Female,2017,5 to 9,0.1
Saskatchewan,Female,2018,5 to 9,0.1
Saskatchewan,Female,2019,5 to 9,0.1
Saskatchewan,Female,2020,5 to 9,0.1
Alberta,Male,2016,5 to 9,0.1
Alberta,Male,2017,5 to 9,0.1
Alberta,Male,2018,5 to 9,0.1
Alberta,Male,2019,5 to 9,0.1
Alberta,Male,2020,5 to 9,0.1
Alberta,Female,2016,5 to 9,0.1
Alberta,Female,2017,5 to 9,0.1
Alberta,Female,2018,5 to 9,0.1
Alberta,Female,2019,5 to 9,0
Alberta,Female,2020,5 to 9,0.1
British Columbia,Male,2016,5 to 9,0.1
British Columbia,Male,2017,5 to 9,0.1
British Columbia,Male,2018,5 to 9,0.1
British Columbia,Male,2019,5 to 9,0.1
British Columbia,Male,2020,5 to 9,0.1
British Columbia,Female,2016,5 to 9,0.1
British Columbia,Female,2017,5 to 9,0.1
British Columbia,Female,2018,5 to 9,0.1
British Columbia,Female,2019,5 to 9,0.1
British Columbia,Female,2020,5 to 9,0.1
Northwest Territories,Male,2016,5 to 9,0
Northwest Territories,Male,2017,5 to 9,0
Northwest Territories,Male,2018,5 to 9,0
Northwest Territories,Male,2019,5 to 9,0
Northwest Territories,Male,2020,5 to 9,0
Northwest Territories,Female,2016,5 to 9,0
Northwest Territories,Female,2017,5 to 9,0
Northwest Territories,Female,2018,5 to 9,0
Northwest Territories,Female,2019,5 to 9,0
Northwest Territories,Female,2020,5 to 9,0.6
Nunavut,Male,2016,5 to 9,0
Nunavut,Male,2017,5 to 9,0
Nunavut,Male,2018,5 to 9,0
Nunavut,Male,2019,5 to 9,0
Nunavut,Male,2020,5 to 9,0.9
Nunavut,Female,2016,5 to 9,0.5
Nunavut,Female,2017,5 to 9,0
Nunavut,Female,2018,5 to 9,0
Nunavut,Female,2019,5 to 9,0
Nunavut,Female,2020,5 to 9,0
Newfoundland and Labrador,Male,2016,10 to 14,0.1
Newfoundland and Labrador,Male,2017,10 to 14,0.4
Newfoundland and Labrador,Male,2018,10 to 14,0.1
Newfoundland and Labrador,Male,2019,10 to 14,0.2
Newfoundland and Labrador,Male,2020,10 to 14,0.1
Newfoundland and Labrador,Female,2016,10 to 14,0.1
Newfoundland and Labrador,Female,2017,10 to 14,0.2
Newfoundland and Labrador,Female,2018,10 to 14,0.1
Newfoundland and Labrador,Female,2019,10 to 14,0.2
Newfoundland and Labrador,Female,2020,10 to 14,0.2
Prince Edward Island,Male,2016,10 to 14,0.3
Prince Edward Island,Male,2017,10 to 14,0.2
Prince Edward Island,Male,2018,10 to 14,0
Prince Edward Island,Male,2019,10 to 14,0
Prince Edward Island,Male,2020,10 to 14,0
Prince Edward Island,Female,2016,10 to 14,0
Prince Edward Island,Female,2017,10 to 14,0
Prince Edward Island,Female,2018,10 to 14,0
Prince Edward Island,Female,2019,10 to 14,0
Prince Edward Island,Female,2020,10 to 14,0
